Date,Location ,Suspected Cases,Nr. Of New Cases ,Total Confirmed Cases,Source ,Deaths,Recovered,Long,Lat,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Mar-20,FCT,16,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,10.00,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Mar-20,Kano,2,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,12.00,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Mar-20,Katsina,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,12.99,7.60,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Mar-20,Lagos,56,4,9,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,11.49,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Mar-20,Nassarawa,5,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,3.33,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Mar-20,Ogun ,4,0,2,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,1,8.52,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Mar-20,Ondo,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,3.33,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Mar-20,Rivers,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,7.00,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Mar-20,Yobe,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,11.95,11.73,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Mar-20,Adamawa,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,11.93,9.91,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Mar-20,A/Ibom,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,7.93,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Mar-20,Bauchi,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,9.83,10.32,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Mar-20,Bayelsa,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,6.26,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Mar-20,Cross River,2,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,8.32,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Mar-20,Delta,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,6.18,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Mar-20,Ebonyi,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,8.10,6.33,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Mar-20,Edo ,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,5.60,6.32,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Mar-20,Ekiti,4,0,1,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,5.22,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Mar-20,Enugu,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,7.50,6.50,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Mar-20,FCT,39,4,4,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,10.00,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,
